2024-07-23 07:14:40 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:40 status half-configured libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:40 status installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:40 configure libcurl3-gnutls:amd64 7.88.1-10+deb12u6 <none>
2024-07-23 07:14:40 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u6
2024-07-23 07:14:40 status half-configured libcurl3-gnutls:amd64 7.88.1-10+deb12u6
2024-07-23 07:14:40 status installed libcurl3-gnutls:amd64 7.88.1-10+deb12u6
2024-07-23 07:14:40 configure gnupg1:amd64 1.4.23-1.1+b1 <none>
2024-07-23 07:14:40 status unpacked gnupg1:amd64 1.4.23-1.1+b1
2024-07-23 07:14:40 status half-configured gnupg1:amd64 1.4.23-1.1+b1
2024-07-23 07:14:40 status installed gnupg1:amd64 1.4.23-1.1+b1
2024-07-23 07:14:40 trigproc libc-bin:amd64 2.36-9+deb12u7 <none>
2024-07-23 07:14:40 status half-configured libc-bin:amd64 2.36-9+deb12u7
2024-07-23 07:14:40 status installed libc-bin:amd64 2.36-9+deb12u7
2024-07-23 07:14:40 trigproc ca-certificates:all 20230311 <none>
2024-07-23 07:14:40 status half-configured ca-certificates:all 20230311
2024-07-23 07:14:40 status installed ca-certificates:all 20230311
2024-07-23 07:14:42 startup packages remove
2024-07-23 07:14:42 status installed gnupg1:amd64 1.4.23-1.1+b1
2024-07-23 07:14:42 remove gnupg1:amd64 1.4.23-1.1+b1 <none>
2024-07-23 07:14:42 status half-configured gnupg1:amd64 1.4.23-1.1+b1
2024-07-23 07:14:42 status half-installed gnupg1:amd64 1.4.23-1.1+b1
2024-07-23 07:14:42 status config-files gnupg1:amd64 1.4.23-1.1+b1
2024-07-23 07:14:42 status not-installed gnupg1:amd64 <none>
2024-07-23 07:14:42 status installed libcurl3-gnutls:amd64 7.88.1-10+deb12u6
2024-07-23 07:14:42 remove libcurl3-gnutls:amd64 7.88.1-10+deb12u6 <none>
2024-07-23 07:14:42 status triggers-pending libc-bin:amd64 2.36-9+deb12u7
2024-07-23 07:14:42 status half-configured libcurl3-gnutls:amd64 7.88.1-10+deb12u6
2024-07-23 07:14:42 status half-installed libcurl3-gnutls:amd64 7.88.1-10+deb12u6
2024-07-23 07:14:42 status config-files libcurl3-gnutls:amd64 7.88.1-10+deb12u6
2024-07-23 07:14:42 status not-installed libcurl3-gnutls:amd64 <none>
2024-07-23 07:14:42 status installed libbrotli1:amd64 1.0.9-2+b6
2024-07-23 07:14:42 remove libbrotli1:amd64 1.0.9-2+b6 <none>
2024-07-23 07:14:42 status half-configured libbrotli1:amd64 1.0.9-2+b6
2024-07-23 07:14:42 status half-installed libbrotli1:amd64 1.0.9-2+b6
2024-07-23 07:14:42 status config-files libbrotli1:amd64 1.0.9-2+b6
2024-07-23 07:14:42 status not-installed libbrotli1:amd64 <none>
2024-07-23 07:14:42 status installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 remove libgssapi-krb5-2:amd64 1.20.1-2+deb12u2 <none>
2024-07-23 07:14:42 status half-configured libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status config-files libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status installed libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 remove libkrb5-3:amd64 1.20.1-2+deb12u2 <none>
2024-07-23 07:14:42 status half-configured libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status config-files libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status not-installed libkrb5-3:amd64 <none>
2024-07-23 07:14:42 status installed libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 remove libk5crypto3:amd64 1.20.1-2+deb12u2 <none>
2024-07-23 07:14:42 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status config-files libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status not-installed libk5crypto3:amd64 <none>
2024-07-23 07:14:42 status installed libkeyutils1:amd64 1.6.3-2
2024-07-23 07:14:42 remove libkeyutils1:amd64 1.6.3-2 <none>
2024-07-23 07:14:42 status half-configured libkeyutils1:amd64 1.6.3-2
2024-07-23 07:14:42 status half-installed libkeyutils1:amd64 1.6.3-2
2024-07-23 07:14:42 status config-files libkeyutils1:amd64 1.6.3-2
2024-07-23 07:14:42 status not-installed libkeyutils1:amd64 <none>
2024-07-23 07:14:42 status installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 remove libkrb5support0:amd64 1.20.1-2+deb12u2 <none>
2024-07-23 07:14:42 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status config-files libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status not-installed libkrb5support0:amd64 <none>
2024-07-23 07:14:42 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-07-23 07:14:42 remove libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2024-07-23 07:14:42 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-07-23 07:14:42 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-07-23 07:14:42 status config-files libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-07-23 07:14:42 status not-installed libldap-2.5-0:amd64 <none>
